tokens,lockup_days,multiplier
1,30,10000
1,60,10000
1,90,10000
1,180,10000
1,365,10002
250,30,10041
250,60,10082
250,90,10123
250,180,10246
250,365,10500
500,30,10082
500,60,10164
500,90,10246
500,180,10493
500,365,11000
750,30,10123
750,60,10246
750,90,10369
750,180,10739
750,365,11500
1000,30,10164
1000,60,10328
1000,90,10493
1000,180,10986
1000,365,12000
1250,30,10205
1250,60,10410
1250,90,10616
1250,180,11232
1250,365,12500
1500,30,10246
1500,60,10492
1500,90,10739
1500,180,11479
1500,365,13000
1750,30,10287
1750,60,10575
1750,90,10862
1750,180,11725
1750,365,13500
2000,30,10328
2000,60,10657
2000,90,10986
2000,180,11972
2000,365,14000
2250,30,10369
2250,60,10739
2250,90,11109
2250,180,12218
2250,365,14500
2500,30,10410
2500,60,10821
2500,90,11232
2500,180,12465
2500,365,15000
